persid,hhid,persno,primary_mode_raw,travel_mode_3,hhinc_group,hh_income_3,anzsco1,occupation_5,homesubregion_asgs_person,homeregion_asgs_person,region_3,studying,anywork,edu_status_3,agegroup,age_stage_4,totalvehs,veh_own_3,sex,relationship,owndwell,homelga,persinc,perspoststratweight,hhpoststratweight,main_journey_duration_min
Y24H5740337P01,Y24H5740337,1,Vehicle Driver,Private,"$650-$799 ($33,800-$41,599)",Low,Clerical and Administrative Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,1,1 car,Female,Self,Being Rented,Stonnington (C),"$650-$799 ($33,800-$41,599)",1030.903333264,735.412958,30.0
Y24H5750233P01,Y24H5750233,1,Vehicle Driver,Private,"$300-$399 ($15,600-$20,799)",Low,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,1,1 car,Male,Self,Being Rented,Whitehorse (C),"$150-$299 ($7,800-$15,599)",795.260765041,693.4638144,25.0
Y24H5750233P03,Y24H5750233,3,Train,Public,"$300-$399 ($15,600-$20,799)",Low,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,1,1 car,Male,Other relative,Being Rented,Whitehorse (C),"$1-$149 ($1-$7,799)",795.260765041,693.4638144,49.0
Y24H5750333P03,Y24H5750333,3,Train,Public,"$8,000 or more ($416,000 or more)",High,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,3,2+ cars,Male,Child,Fully Owned,Maribyrnong (C),"$1,000-$1,249 ($52,000-$64,999)",1198.378620849,1271.140947,36.0
Y24H5750333P04,Y24H5750333,4,Tram,Public,"$8,000 or more ($416,000 or more)",High,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,15->19,Children,3,2+ cars,Male,Child,Fully Owned,Maribyrnong (C),"$800-$999 ($41,600-$51,999)",1622.420308778,1271.140947,60.0
Y24H5750401P04,Y24H5750401,4,Vehicle Passenger,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Labourers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Female,Other relative,Being Rented,Whittlesea (C),"$150-$299 ($7,800-$15,599)",326.684065892,407.0730183,30.0
Y24H5750418P04,Y24H5750418,4,Vehicle Passenger,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Sales Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,15->19,Children,4,2+ cars,Female,Child,Being Rented,Whittlesea (C),"$650-$799 ($33,800-$41,599)",821.004997676,880.4454977,23.0
Y24H5750420P01,Y24H5750420,1,Vehicle Driver,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Professionals,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,40->44,Adults,2,2+ cars,Male,Self,Being Purchased,Whittlesea (C),"$2,000-$2,999 ($104,000-$155,999)",268.44579161,561.8029802,84.0
Y24H5750430P01,Y24H5750430,1,Vehicle Driver,Private,"$1,250-$1,499 ($65,000-$77,999)",Medium,Sales Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,35->39,Adults,2,2+ cars,Male,Self,Being Rented,Whittlesea (C),"$1,250-$1,499 ($65,000-$77,999)",233.724176394,474.1582485,63.0
Y24H5750442P02,Y24H5750442,2,Train,Public,"$2,000-$2,499 ($104,000-$129,999)",High,Community and Personal Service Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,30->34,Adults,1,1 car,Female,Spouse,Being Purchased,Whittlesea (C),"$300-$399 ($15,600-$20,799)",525.810949524,704.1463601,38.0
Y24H5760231P03,Y24H5760231,3,Vehicle Passenger,Private,"$4,000-$4,499 ($208,000-$233,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,3,2+ cars,Female,Child,Being Purchased,Manningham (C),"$1,500-$1,749 ($78,000-$90,999)",434.335454779,250.188026,45.0
Y24H5760326P02,Y24H5760326,2,Vehicle Driver,Private,"$3,500-$3,999 ($182,000-$207,999)",High,Professionals,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,45->49,Adults,2,2+ cars,Female,Spouse,Being Rented,Bayside (C),"$1,000-$1,249 ($52,000-$64,999)",771.912267748,480.4622131,35.0
Y24H5760329P03,Y24H5760329,3,Vehicle Driver,Private,"$1,750-$1,999 ($91,000-$103,999)",Medium,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,15->19,Children,3,2+ cars,Female,Child,Being Purchased,Bayside (C),"$1-$149 ($1-$7,799)",381.567928428,411.8522561,45.0
Y24H5770237P03,Y24H5770237,3,Vehicle Driver,Private,"$5,000-$5,999 ($260,000-$311,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,2,2+ cars,Male,Child,Being Purchased,Knox (C),"$500-$649 ($26,000-$33,799)",528.684711144,424.1805654,13.0
Y24H5770322P03,Y24H5770322,3,Tram,Public,"$3,500-$3,999 ($182,000-$207,999)",High,Community and Personal Service Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Male,Child,Being Purchased,Yarra (C),"$650-$799 ($33,800-$41,599)",1612.498173473,664.4300747,27.0
Y24H5780104P03,Y24H5780104,3,Vehicle Driver,Private,"$2,000-$2,499 ($104,000-$129,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,3,2+ cars,Female,Child,Being Purchased,Casey (C),"$300-$399 ($15,600-$20,799)",2163.529095079,1225.17899,25.0
Y24H5780122P03,Y24H5780122,3,Vehicle Driver,Private,"$4,500-$4,999 ($234,000-$259,999)",High,Community and Personal Service Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,15->19,Children,4,2+ cars,Female,Child,Fully Owned,Casey (C),"$300-$399 ($15,600-$20,799)",1306.190152982,1021.267741,34.0
Y24H5780311P01,Y24H5780311,1,Vehicle Driver,Private,"$5,000-$5,999 ($260,000-$311,999)",High,Managers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,75->79,Seniors,2,2+ cars,Male,Self,Fully Owned,Glen Eira (C),"$3,000-$3,499 ($156,000-$181,999)",422.585844662,546.915089,31.0
Y24H5780325P01,Y24H5780325,1,Walking,Active,"$800-$999 ($41,600-$51,999)",Medium,Managers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,0,No car,Male,Self,Being Rented,Glen Eira (C),"$800-$999 ($41,600-$51,999)",446.304415523,440.4269546,15.0
Y24H5780404P01,Y24H5780404,1,Train,Public,"$2,000-$2,499 ($104,000-$129,999)",High,Professionals,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,0,No car,Male,Self,Being Rented,Merri-bek (C),"$1,250-$1,499 ($65,000-$77,999)",305.635012797,279.4967015,56.0
Y24H5780436P01,Y24H5780436,1,Train,Public,"$1-$149 ($1-$7,799)",Low,Not in Work Force,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,No,Currently Studying,30->34,Adults,1,1 car,Male,Self,Fully Owned,Merri-bek (C),Negative income,579.080932505,414.0318981,90.0
Y24H5780436P02,Y24H5780436,2,Vehicle Driver,Private,"$1-$149 ($1-$7,799)",Low,Community and Personal Service Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,1,1 car,Male,Unrelated,Fully Owned,Merri-bek (C),"$1-$149 ($1-$7,799)",865.108448715,414.0318981,60.0
Y24H5790135P03,Y24H5790135,3,Public Bus,Public,"$3,000-$3,499 ($156,000-$181,999)",High,Sales Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,3,2+ cars,Female,Child,Fully Owned,Casey (C),"$150-$299 ($7,800-$15,599)",487.66520568,399.6738626,50.0
Y24H5790212P04,Y24H5790212,4,Train,Public,"$4,000-$4,499 ($208,000-$233,999)",High,Not in Work Force,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,No,Currently Studying,15->19,Children,3,2+ cars,Female,Child,Being Purchased,Monash (C),"$1-$149 ($1-$7,799)",860.475391774,502.9580968,45.0
Y24H5790240P04,Y24H5790240,4,Vehicle Passenger,Private,"$4,500-$4,999 ($234,000-$259,999)",High,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,1,1 car,Female,Child,Fully Owned,Monash (C),"$1,250-$1,499 ($65,000-$77,999)",573.037559605,591.5930532,7.0
Y24H5790240P05,Y24H5790240,5,Vehicle Passenger,Private,"$4,500-$4,999 ($234,000-$259,999)",High,Not in Work Force,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,No,Currently Studying,15->19,Children,1,1 car,Female,Child,Fully Owned,Monash (C),"$1-$149 ($1-$7,799)",1012.114662085,591.5930532,22.0
Y24H5800202P04,Y24H5800202,4,Vehicle Driver,Private,"$3,500-$3,999 ($182,000-$207,999)",High,Community and Personal Service Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Male,Child,Being Purchased,Boroondara (C),"$150-$299 ($7,800-$15,599)",822.786940375,601.7022342,58.0
Y24H5800216P03,Y24H5800216,3,Walking,Active,"$6,000-$7,999 ($312,000-$415,999)",High,Clerical and Administrative Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Male,Child,Fully Owned,Boroondara (C),"$1-$149 ($1-$7,799)",620.487540694,752.475813,10.0
Y24H5800217P03,Y24H5800217,3,Vehicle Driver,Private,"$4,500-$4,999 ($234,000-$259,999)",High,Technicians and Trades Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,4,2+ cars,Male,Child,Fully Owned,Boroondara (C),Nil income,947.335634462,1166.288604,40.0
Y24H5800218P03,Y24H5800218,3,Vehicle Driver,Private,"$1,250-$1,499 ($65,000-$77,999)",Medium,Sales Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Female,Child,Being Purchased,Boroondara (C),"$300-$399 ($15,600-$20,799)",494.886866554,576.9453676,13.0
Y24H5800237P03,Y24H5800237,3,Vehicle Driver,Private,"$6,000-$7,999 ($312,000-$415,999)",High,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,4,2+ cars,Female,Child,Being Purchased,Whitehorse (C),"$650-$799 ($33,800-$41,599)",1012.283941335,1004.031937,51.0
Y24H5800237P04,Y24H5800237,4,Vehicle Driver,Private,"$6,000-$7,999 ($312,000-$415,999)",High,Clerical and Administrative Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,4,2+ cars,Female,Child,Being Purchased,Whitehorse (C),"$1,000-$1,249 ($52,000-$64,999)",1012.283941335,1004.031937,69.0
Y24H5800322P01,Y24H5800322,1,Walking,Active,"$2,500-$2,999 ($130,000-$155,999)",High,Sales Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,0,No car,Male,Self,Being Rented,Melbourne (C),"$2,000-$2,999 ($104,000-$155,999)",4644.239030501,4031.853042,24.0
Y24H5800339P01,Y24H5800339,1,Tram,Public,,Unknown,Not in Work Force,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,0,No car,Female,Self,Being Rented,Melbourne (C),Nil income,5161.165628096,3538.720089,26.0
Y24H5800339P02,Y24H5800339,2,Train,Public,,Unknown,Not in Work Force,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,0,No car,Male,Other relative,Being Rented,Melbourne (C),Nil income,5478.100581443,3538.720089,60.0
Y24H5800529P02,Y24H5800529,2,Vehicle Driver,Private,"$6,000-$7,999 ($312,000-$415,999)",High,Managers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,40->44,Adults,2,2+ cars,Female,Spouse,Being Purchased,Hobsons Bay (C),"$2,000-$2,999 ($104,000-$155,999)",1849.415724709,1754.182288,68.0
Y24H5810102P04,Y24H5810102,4,Train,Public,"$2,000-$2,499 ($104,000-$129,999)",High,Sales Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Female,Child,Fully Owned,Casey (C),"$300-$399 ($15,600-$20,799)",1222.571735963,1001.978329,54.0
Y24H5810115P04,Y24H5810115,4,Vehicle Passenger,Private,"$5,000-$5,999 ($260,000-$311,999)",High,Sales Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Male,Other relative,Fully Owned,Casey (C),"$1-$149 ($1-$7,799)",1146.45583683,888.4162401,70.0
Y24H5810209P03,Y24H5810209,3,Vehicle Driver,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Clerical and Administrative Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,3,2+ cars,Female,Child,Fully Owned,Knox (C),"$300-$399 ($15,600-$20,799)",563.175623829,705.0588011,8.0
Y24H5810215P03,Y24H5810215,3,Vehicle Driver,Private,"$500-$649 ($26,000-$33,799)",Low,Not in Work Force,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,4,2+ cars,Female,Child,Being Purchased,Knox (C),"$1,250-$1,499 ($65,000-$77,999)",740.458214101,508.2911257,30.0
Y24H5810229P04,Y24H5810229,4,Vehicle Driver,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Sales Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,5,2+ cars,Female,Child,Fully Owned,Maroondah (C),"$1-$149 ($1-$7,799)",898.474083602,1312.929524,10.0
Y24H5820101P04,Y24H5820101,4,Vehicle Driver,Private,"$2,000-$2,499 ($104,000-$129,999)",High,Sales Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,4,2+ cars,Male,Child,Being Purchased,Casey (C),"$150-$299 ($7,800-$15,599)",394.06268125,381.7108283,13.0
Y24H5820304P01,Y24H5820304,1,Train,Public,"$2,000-$2,499 ($104,000-$129,999)",High,Professionals,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,35->39,Adults,1,1 car,Male,Self,Being Rented,Melbourne (C),"$1,500-$1,749 ($78,000-$90,999)",1706.855494781,2164.486283,39.0
Y24H5820437P03,Y24H5820437,3,Train,Public,"$4,000-$4,499 ($208,000-$233,999)",High,Not in Work Force,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,2,2+ cars,Female,Child,Being Purchased,Hume (C),"$1,000-$1,249 ($52,000-$64,999)",1332.064436938,566.7907398,121.0
Y24H5820525P04,Y24H5820525,4,Train,Public,"$6,000-$7,999 ($312,000-$415,999)",High,Community and Personal Service Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Male,Child,Being Rented,Wyndham (C),"$300-$399 ($15,600-$20,799)",470.357065311,358.1253763,128.0
Y24H5830108P03,Y24H5830108,3,Vehicle Passenger,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Community and Personal Service Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,15->19,Children,2,2+ cars,Male,Child,Fully Owned,Kingston (C),"$1-$149 ($1-$7,799)",611.82675488,799.646335,14.0
Y24H5830141P01,Y24H5830141,1,Vehicle Driver,Private,"$1,250-$1,499 ($65,000-$77,999)",Medium,Community and Personal Service Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,2,2+ cars,Female,Self,Being Rented,Kingston (C),"$400-$499 ($20,800-$25,999)",394.816668567,475.4909454,7.0
Y24H5830508P03,Y24H5830508,3,Vehicle Driver,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Community and Personal Service Workers,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,15->19,Children,3,2+ cars,Male,Child,Fully Owned,Brimbank (C),Nil income,2197.770663697,931.6860262,25.0
Y24H5840229P01,Y24H5840229,1,Vehicle Driver,Private,"$650-$799 ($33,800-$41,599)",Low,Professionals,Student,MELB - Middle,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,1,1 car,Female,Self,Being Rented,Manningham (C),"$650-$799 ($33,800-$41,599)",1022.933284834,798.5852919,16.0
Y24H5850219P03,Y24H5850219,3,Train,Public,"$6,000-$7,999 ($312,000-$415,999)",High,Technicians and Trades Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,2,2+ cars,Male,Child,Being Rented,Knox (C),"$3,000-$3,499 ($156,000-$181,999)",1086.834877387,510.3344038,25.0
Y24H5850310P03,Y24H5850310,3,Train,Public,"$3,000-$3,499 ($156,000-$181,999)",High,Not in Work Force,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,No,Currently Studying,20->24,Young Adults,4,2+ cars,Female,Child,Fully Owned,Melbourne (C),Nil income,2501.559542737,1715.178246,40.0
Y24H5850340P02,Y24H5850340,2,Walking,Active,"$2,500-$2,999 ($130,000-$155,999)",High,Technicians and Trades Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,35->39,Adults,0,No car,Female,Spouse,Being Rented,Yarra (C),"$800-$999 ($41,600-$51,999)",2665.826233612,1361.987347,5.0
Y24H5850521P01,Y24H5850521,1,Vehicle Passenger,Private,"$3,000-$3,499 ($156,000-$181,999)",High,Professionals,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,1,1 car,Female,Self,Being Rented,Melton (S),"$1,500-$1,749 ($78,000-$90,999)",1188.525618738,803.2751259,30.0
Y24H5850524P03,Y24H5850524,3,Vehicle Driver,Private,"$2,500-$2,999 ($130,000-$155,999)",High,Technicians and Trades Workers,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,3,2+ cars,Male,Other relative,Being Purchased,Wyndham (C),"$800-$999 ($41,600-$51,999)",3046.748407775,1598.7601,30.0
Y24H5860105P03,Y24H5860105,3,Vehicle Driver,Private,"$5,000-$5,999 ($260,000-$311,999)",High,Professionals,Student,MELB - Outer,Greater Melbourne,Outer Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,20->24,Young Adults,4,2+ cars,Female,Child,Being Purchased,Frankston (C),"$650-$799 ($33,800-$41,599)",1559.185504585,1360.881291,40.0
Y24H5860316P01,Y24H5860316,1,Vehicle Driver,Private,"$1,000-$1,249 ($52,000-$64,999)",Medium,Professionals,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Part-time TAFE/Uni,Yes,Currently Studying,30->34,Adults,1,1 car,Female,Self,Being Rented,Maribyrnong (C),"$1,000-$1,249 ($52,000-$64,999)",831.986176811,637.9663404,45.0
Y24H5860323P01,Y24H5860323,1,Vehicle Driver,Private,"$1,000-$1,249 ($52,000-$64,999)",Medium,Community and Personal Service Workers,Student,MELB - Inner,Greater Melbourne,Inner Melbourne,Full-time TAFE/Uni,Yes,Currently Studying,25->29,Young Adults,1,1 car,Female,Self,Being Rented,Maribyrnong (C),"$1,000-$1,249 ($52,000-$64,999)",684.241787335,405.9785803,7.0
